Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost
David Montgomery,CHI,RB,24,13,13,51.0,42.0,0.0,0.0,1.0,849.0,7.0,225.0,301.0,0.0,153.0,1.0,1.0,1.0
AJ Dillon,GNB,RB,23,17,2,37.0,34.0,0.0,0.0,0.0,803.0,5.0,187.0,313.0,2.0,152.0,0.0,2.0,1.0
Kendrick Bourne,NWE,WR,26,17,5,70.0,55.0,25.0,1.0,1.0,125.0,0.0,12.0,800.0,5.0,126.0,0.0,1.0,1.0
Darrel Williams,KAN,RB,26,17,7,57.0,47.0,0.0,0.0,0.0,558.0,6.0,144.0,452.0,2.0,149.0,0.0,0.0,0.0
D'Andre Swift,DET,RB,22,13,4,78.0,62.0,0.0,0.0,1.0,617.0,5.0,151.0,452.0,2.0,147.0,0.0,2.0,1.0
Mike Gesicki,MIA,TE,26,17,9,112.0,73.0,0.0,0.0,1.0,0.0,0.0,0.0,780.0,2.0,92.0,0.0,0.0,0.0
Nick Ralston,DAL,,25,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Elijah Mitchell,SFO,RB,23,11,10,20.0,19.0,0.0,0.0,0.0,963.0,5.0,207.0,137.0,1.0,146.0,0.0,0.0,0.0
Tory Carter,TEN,,22,8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Ryan Tannehill,TEN,QB,33,17,17,0.0,0.0,3734.0,21.0,531.0,270.0,7.0,55.0,0.0,0.0,268.0,14.0,10.0,4.0
Carson Wentz,IND,QB,29,17,17,0.0,0.0,3563.0,27.0,516.0,215.0,1.0,57.0,0.0,0.0,258.0,7.0,8.0,5.0
Derek Carr,LVR,QB,30,17,17,0.0,0.0,4804.0,23.0,626.0,108.0,0.0,40.0,0.0,0.0,257.0,14.0,13.0,5.0
Russell Wilson*,SEA,QB,33,14,14,0.0,0.0,3113.0,25.0,400.0,183.0,2.0,43.0,0.0,0.0,243.0,6.0,6.0,1.0
Lamar Jackson*,BAL,QB,24,12,12,0.0,0.0,2882.0,16.0,382.0,767.0,2.0,133.0,0.0,0.0,240.0,13.0,6.0,3.0
Jimmy Garoppolo,SFO,QB,30,15,15,0.0,0.0,3810.0,20.0,441.0,51.0,3.0,38.0,0.0,0.0,228.0,12.0,8.0,3.0
Mac Jones*,NWE,QB,23,17,17,0.0,0.0,3801.0,22.0,521.0,129.0,0.0,44.0,0.0,0.0,225.0,13.0,7.0,3.0
Matt Ryan,ATL,QB,36,17,17,0.0,0.0,3968.0,20.0,560.0,82.0,1.0,40.0,0.0,0.0,223.0,12.0,11.0,4.0
Taylor Heinicke,WAS,QB,28,16,15,1.0,1.0,3419.0,20.0,494.0,313.0,1.0,60.0,-2.0,0.0,222.0,15.0,7.0,2.0
Ben Roethlisberger,PIT,QB,39,16,16,0.0,0.0,3740.0,22.0,605.0,5.0,1.0,20.0,0.0,0.0,218.0,10.0,11.0,5.0
Teddy Bridgewater,DEN,QB,29,14,14,0.0,0.0,3052.0,18.0,426.0,106.0,2.0,30.0,0.0,0.0,203.0,7.0,1.0,1.0
Trevor Lawrence,JAX,QB,22,17,17,0.0,0.0,3641.0,12.0,602.0,334.0,2.0,73.0,0.0,0.0,199.0,17.0,9.0,5.0
Jared Goff,DET,QB,27,14,14,0.0,0.0,3245.0,19.0,494.0,87.0,0.0,17.0,0.0,0.0,195.0,8.0,9.0,6.0
Baker Mayfield,CLE,QB,26,14,14,0.0,0.0,3010.0,17.0,418.0,134.0,1.0,37.0,11.0,0.0,181.0,13.0,6.0,3.0
Tua Tagovailoa,MIA,QB,23,13,12,0.0,0.0,2653.0,16.0,388.0,128.0,3.0,42.0,0.0,0.0,181.0,10.0,9.0,1.0
Daniel Jones,NYG,QB,24,11,11,1.0,1.0,2428.0,10.0,361.0,298.0,2.0,62.0,16.0,0.0,167.0,7.0,7.0,3.0
Sam Darnold,CAR,QB,24,12,11,0.0,0.0,2527.0,9.0,406.0,222.0,5.0,48.0,0.0,0.0,157.0,13.0,9.0,4.0
Davis Mills,HOU,QB,23,13,11,0.0,0.0,2664.0,16.0,394.0,44.0,0.0,18.0,0.0,0.0,157.0,10.0,5.0,1.0
Zach Wilson,NYJ,QB,22,13,13,1.0,0.0,2334.0,9.0,383.0,185.0,4.0,29.0,0.0,0.0,152.0,11.0,5.0,1.0
James Robinson,JAX,RB,23,14,13,46.0,31.0,0.0,0.0,0.0,767.0,8.0,164.0,222.0,0.0,143.0,0.0,4.0,2.0
Darrell Henderson,LAR,RB,24,12,10,40.0,29.0,0.0,0.0,0.0,688.0,5.0,149.0,176.0,3.0,134.0,0.0,0.0,0.0
Justin Fields,CHI,QB,22,12,10,0.0,0.0,1870.0,7.0,270.0,420.0,2.0,72.0,0.0,0.0,127.0,10.0,12.0,5.0
Myles Gaskin,MIA,RB,24,17,10,63.0,49.0,0.0,0.0,0.0,612.0,3.0,173.0,234.0,4.0,125.0,0.0,2.0,1.0
Sony Michel,LAR,RB,26,17,7,33.0,21.0,0.0,0.0,0.0,845.0,4.0,208.0,128.0,1.0,125.0,0.0,1.0,1.0
Tony Pollard,DAL,RB,24,15,0,46.0,39.0,0.0,0.0,0.0,719.0,2.0,130.0,337.0,0.0,124.0,0.0,2.0,0.0
DeVonta Smith,PHI,WR,23,17,16,104.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,916.0,5.0,122.0,0.0,1.0,1.0
A.J. Brown,TEN,WR,24,13,13,105.0,63.0,0.0,0.0,2.0,10.0,0.0,2.0,869.0,5.0,118.0,0.0,0.0,0.0
Michael Carter,NYJ,RB,22,14,11,55.0,36.0,0.0,0.0,0.0,639.0,4.0,147.0,325.0,0.0,118.0,0.0,1.0,1.0
Taysom Hill,NOR,QB,31,12,9,6.0,4.0,978.0,4.0,134.0,374.0,5.0,70.0,52.0,0.0,118.0,5.0,2.0,0.0
Van Jefferson,LAR,WR,25,17,17,89.0,50.0,0.0,0.0,0.0,20.0,0.0,2.0,802.0,6.0,118.0,0.0,0.0,0.0
Tyler Boyd,CIN,WR,27,16,10,94.0,67.0,46.0,0.0,1.0,22.0,0.0,2.0,828.0,5.0,117.0,0.0,1.0,0.0
Jameis Winston,NOR,QB,27,7,7,0.0,0.0,1170.0,14.0,161.0,166.0,1.0,32.0,0.0,0.0,117.0,3.0,2.0,1.0
Rashaad Penny,SEA,RB,25,10,6,8.0,6.0,0.0,0.0,0.0,749.0,6.0,119.0,48.0,0.0,116.0,0.0,0.0,0.0
Brandon Aiyuk,SFO,WR,23,17,16,84.0,56.0,0.0,0.0,0.0,17.0,0.0,5.0,826.0,5.0,114.0,0.0,2.0,1.0
Devonta Freeman,BAL,RB,29,16,8,42.0,34.0,0.0,0.0,0.0,576.0,5.0,133.0,190.0,1.0,113.0,0.0,0.0,0.0
Chuba Hubbard,CAR,RB,22,17,10,37.0,25.0,0.0,0.0,0.0,612.0,5.0,172.0,174.0,1.0,113.0,0.0,1.0,1.0
K.J. Osborn,MIN,WR,24,17,9,82.0,50.0,0.0,0.0,0.0,10.0,0.0,1.0,655.0,7.0,109.0,0.0,0.0,0.0
Saquon Barkley,NYG,RB,24,13,13,57.0,41.0,0.0,0.0,0.0,593.0,2.0,162.0,263.0,2.0,108.0,0.0,2.0,1.0
Chase Claypool,PIT,WR,23,15,13,105.0,59.0,0.0,0.0,0.0,96.0,0.0,14.0,860.0,2.0,108.0,0.0,0.0,0.0
Marvin Jones,JAX,WR,31,17,16,120.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,832.0,4.0,107.0,0.0,0.0,0.0
Marquez Callaway,NOR,WR,23,17,11,84.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,698.0,6.0,106.0,0.0,0.0,0.0
DeAndre Hopkins,ARI,WR,29,10,10,64.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,572.0,8.0,105.0,0.0,0.0,0.0
Devontae Booker,NYG,RB,29,16,4,45.0,40.0,0.0,0.0,0.0,593.0,2.0,145.0,268.0,1.0,104.0,0.0,0.0,0.0
A.J. Green,ARI,WR,33,16,9,92.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,848.0,3.0,103.0,0.0,0.0,0.0
Allen Lazard,GNB,WR,26,15,13,60.0,40.0,0.0,0.0,0.0,32.0,0.0,3.0,513.0,8.0,103.0,0.0,0.0,0.0
Jakobi Meyers,NWE,WR,25,17,16,126.0,83.0,45.0,0.0,2.0,9.0,0.0,1.0,866.0,2.0,103.0,0.0,1.0,1.0
Tim Patrick,DEN,WR,28,16,16,85.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,734.0,5.0,103.0,0.0,0.0,0.0
Cedrick Wilson Jr.,DAL,WR,26,16,4,61.0,45.0,88.0,0.0,3.0,11.0,0.0,2.0,602.0,6.0,103.0,0.0,3.0,0.0
Rhamondre Stevenson,NWE,RB,23,12,2,18.0,14.0,0.0,0.0,0.0,606.0,5.0,133.0,123.0,0.0,101.0,0.0,2.0,1.0
Chase Edmonds,ARI,RB,25,12,11,53.0,43.0,0.0,0.0,0.0,592.0,2.0,116.0,311.0,0.0,100.0,0.0,1.0,1.0
Clyde Edwards-Helaire,KAN,RB,22,10,10,23.0,19.0,0.0,0.0,0.0,517.0,4.0,119.0,129.0,2.0,99.0,0.0,2.0,2.0
Russell Gage,ATL,WR,25,14,9,94.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,770.0,4.0,97.0,0.0,2.0,2.0
Elijah Moore,NYJ,WR,21,11,6,77.0,43.0,0.0,0.0,0.0,54.0,1.0,5.0,538.0,5.0,95.0,0.0,0.0,0.0
Mike Davis,ATL,RB,28,17,8,58.0,44.0,0.0,0.0,0.0,503.0,3.0,138.0,259.0,1.0,94.0,0.0,4.0,3.0
Alexander Mattison,MIN,RB,23,16,4,39.0,32.0,0.0,0.0,0.0,491.0,3.0,134.0,228.0,1.0,94.0,0.0,1.0,1.0
Latavius Murray,BAL,RB,31,14,6,13.0,10.0,0.0,0.0,0.0,501.0,6.0,119.0,75.0,0.0,94.0,0.0,0.0,0.0
Jamaal Williams,DET,RB,26,13,11,28.0,26.0,0.0,0.0,0.0,601.0,3.0,153.0,157.0,0.0,94.0,0.0,1.0,0.0
Pat Freiermuth,PIT,TE,23,16,9,79.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,497.0,7.0,92.0,0.0,1.0,1.0
Courtland Sutton,DEN,WR,26,17,16,98.0,58.0,16.0,0.0,1.0,0.0,0.0,0.0,776.0,2.0,92.0,0.0,0.0,0.0
Robert Woods,LAR,WR,29,9,9,69.0,45.0,0.0,0.0,0.0,46.0,1.0,8.0,556.0,4.0,92.0,0.0,0.0,0.0
Gabriel Davis,BUF,WR,22,16,4,63.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,549.0,6.0,91.0,0.0,0.0,0.0
Noah Fant,DEN,TE,24,16,16,90.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,670.0,4.0,91.0,0.0,0.0,0.0
Christian McCaffrey,CAR,RB,25,7,7,41.0,37.0,0.0,0.0,0.0,442.0,1.0,99.0,343.0,1.0,91.0,0.0,1.0,0.0
Miles Sanders,PHI,RB,24,12,12,34.0,26.0,0.0,0.0,0.0,754.0,0.0,137.0,158.0,0.0,91.0,0.0,1.0,1.0
Kenneth Gainwell,PHI,RB,22,16,1,50.0,33.0,0.0,0.0,0.0,291.0,5.0,68.0,253.0,1.0,90.0,0.0,2.0,1.0
Emmanuel Sanders,BUF,WR,34,14,13,72.0,42.0,0.0,0.0,0.0,31.0,0.0,2.0,626.0,4.0,90.0,0.0,0.0,0.0
Trevor Siemian,NOR,QB,30,6,4,0.0,0.0,1154.0,11.0,188.0,20.0,1.0,9.0,0.0,0.0,90.0,3.0,3.0,1.0
Kareem Hunt,CLE,RB,26,8,1,27.0,22.0,0.0,0.0,0.0,386.0,5.0,78.0,174.0,0.0,88.0,0.0,0.0,0.0
Robby Anderson,CAR,WR,28,17,16,110.0,53.0,0.0,0.0,0.0,36.0,0.0,3.0,519.0,5.0,86.0,0.0,0.0,0.0
Tyler Higbee,LAR,TE,28,15,15,85.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,560.0,5.0,86.0,0.0,1.0,0.0
Cam Newton,CAR,QB,32,8,5,0.0,0.0,684.0,4.0,126.0,230.0,5.0,47.0,0.0,0.0,86.0,5.0,4.0,1.0
Boston Scott,PHI,RB,26,16,4,16.0,13.0,0.0,0.0,0.0,373.0,7.0,87.0,83.0,0.0,86.0,0.0,1.0,1.0
Odell Beckham Jr.,2TM,WR,29,14,13,82.0,44.0,0.0,0.0,0.0,14.0,0.0,2.0,537.0,5.0,85.0,0.0,0.0,0.0
D'Onta Foreman,TEN,RB,25,9,3,11.0,9.0,0.0,0.0,0.0,566.0,3.0,133.0,123.0,0.0,85.0,0.0,2.0,1.0
D'Ernest Johnson,CLE,RB,25,17,2,25.0,19.0,0.0,0.0,0.0,534.0,3.0,100.0,137.0,0.0,85.0,0.0,1.0,0.0
J.D. McKissic,WAS,RB,28,11,3,53.0,43.0,0.0,0.0,0.0,212.0,2.0,48.0,397.0,2.0,85.0,0.0,0.0,0.0
Byron Pringle,KAN,WR,28,17,5,60.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,568.0,5.0,85.0,0.0,2.0,1.0
Jared Cook,LAC,TE,34,16,10,83.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,564.0,4.0,84.0,0.0,0.0,0.0
Andy Dalton,CHI,QB,34,8,6,0.0,0.0,1515.0,8.0,236.0,76.0,0.0,16.0,0.0,0.0,84.0,9.0,1.0,1.0
T.J. Hockenson,DET,TE,24,12,12,84.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,583.0,4.0,84.0,0.0,0.0,0.0
Kalif Raymond,DET,WR,27,16,14,71.0,48.0,0.0,0.0,0.0,28.0,0.0,4.0,576.0,4.0,84.0,0.0,0.0,0.0
Brandon Bolden,NWE,RB,31,17,1,49.0,41.0,0.0,0.0,0.0,226.0,1.0,44.0,405.0,2.0,83.0,0.0,1.0,0.0
Tyler Huntley,BAL,QB,23,7,4,0.0,0.0,1081.0,3.0,188.0,294.0,2.0,47.0,0.0,0.0,83.0,4.0,4.0,3.0
Ty Johnson,NYJ,RB,24,16,3,55.0,34.0,0.0,0.0,0.0,238.0,2.0,61.0,372.0,2.0,83.0,0.0,2.0,1.0
Mecole Hardman,KAN,WR,23,17,8,83.0,59.0,0.0,0.0,0.0,46.0,0.0,8.0,693.0,2.0,82.0,0.0,3.0,2.0
Mark Ingram,2TM,RB,32,14,10,35.0,27.0,0.0,0.0,0.0,554.0,2.0,160.0,162.0,0.0,82.0,0.0,1.0,1.0
Zack Moss,BUF,RB,24,13,0,32.0,23.0,0.0,0.0,0.0,345.0,4.0,96.0,197.0,1.0,82.0,0.0,2.0,1.0
Tyrod Taylor,HOU,QB,32,6,6,0.0,0.0,966.0,5.0,150.0,151.0,3.0,19.0,0.0,0.0,82.0,5.0,3.0,0.0
Jarvis Landry,CLE,WR,29,12,12,87.0,52.0,0.0,0.0,0.0,40.0,2.0,6.0,570.0,2.0,81.0,0.0,3.0,2.0
Antonio Brown,TAM,WR,33,7,3,62.0,42.0,0.0,0.0,0.0,6.0,0.0,1.0,545.0,4.0,79.0,0.0,0.0,0.0
Rex Burkhead,HOU,RB,31,16,5,32.0,25.0,0.0,0.0,1.0,427.0,3.0,122.0,186.0,0.0,79.0,0.0,1.0,0.0
C.J. Uzomah,CIN,TE,28,16,16,63.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,493.0,5.0,79.0,0.0,0.0,0.0
Darren Waller,LVR,TE,29,11,11,93.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,665.0,2.0,79.0,0.0,0.0,0.0
Cole Beasley,BUF,WR,32,16,8,112.0,82.0,0.0,0.0,1.0,0.0,0.0,0.0,693.0,1.0,77.0,0.0,1.0,0.0
Tyler Conklin,MIN,TE,26,17,15,87.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,593.0,3.0,77.0,0.0,1.0,0.0
Deonte Harris,NOR,WR,24,13,1,59.0,36.0,0.0,0.0,0.0,41.0,0.0,5.0,570.0,3.0,77.0,0.0,2.0,1.0
Donovan Peoples-Jones,CLE,WR,22,14,9,58.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,597.0,3.0,76.0,0.0,2.0,1.0
Braxton Berrios+,NYJ,WR,26,16,1,65.0,46.0,0.0,0.0,0.0,40.0,2.0,7.0,431.0,2.0,75.0,0.0,1.0,1.0
Bryan Edwards,LVR,WR,23,16,12,59.0,34.0,0.0,0.0,0.0,0.0,0.0,1.0,571.0,3.0,75.0,0.0,1.0,0.0
Kenyan Drake,LVR,RB,27,12,2,40.0,30.0,0.0,0.0,0.0,254.0,2.0,63.0,291.0,1.0,73.0,0.0,1.0,0.0
Nyheim Hines,IND,RB,25,17,4,57.0,40.0,0.0,0.0,0.0,276.0,2.0,56.0,310.0,1.0,73.0,0.0,3.0,2.0
Quez Watkins,PHI,WR,23,17,12,62.0,43.0,0.0,0.0,0.0,3.0,0.0,1.0,647.0,1.0,73.0,0.0,0.0,0.0
Jacoby Brissett,MIA,QB,29,11,5,0.0,0.0,1283.0,5.0,225.0,70.0,1.0,19.0,0.0,0.0,72.0,4.0,6.0,3.0
David Njoku,CLE,TE,25,16,11,53.0,36.0,0.0,0.0,0.0,1.0,0.0,1.0,475.0,4.0,72.0,0.0,0.0,0.0
