Player,Tm,Pos,Age,G,GS,Cmp,Att,Yds,Int,Att.1,Yds.1,Rec,Yds.2,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints
Robert Newhouse,DAL,RB,32.0,9.0,0.0,0.0,0.0,0.0,0.0,14.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,1.0,14.0,0.0,0.0,13.9
Lou Piccone,BUF,WR,33.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,140.0,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,26.0
John Thompson,GNB,TE,25.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,24.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,2.0,16.4
Dwight Walker,CLE,RB,23.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,136.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,0.0,17.6
Mike Wilson,SFO,WR,24.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,80.0,13.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,1.0,20.0
John Cappelletti,SDG,RB,30.0,9.0,6.0,0.0,0.0,0.0,0.0,22.0,82.0,7.0,48.0,6.86,1.0,0.0,0.0,0.0,0.0,82.0,0.0,22.0,48.0,0.0,18.0
Larry Hardy,NOR,TE,26.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,67.0,8.38,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,1.0,18.7
Greg LaFleur,STL,TE,24.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,67.0,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,1.0,17.7
Sam McCullum,MIN,WR,30.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,131.0,10.92,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,0.0,23.1
Jewerl Thomas,RAM,RB,25.0,8.0,0.0,0.0,0.0,0.0,0.0,16.0,80.0,8.0,49.0,6.13,0.0,0.0,0.0,0.0,0.0,80.0,0.0,16.0,49.0,0.0,20.9
Ron Battle,RAM,TE,23.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,62.0,31.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,62.0,1.0,14.3
Jim Hart,STL,QB,38.0,4.0,0.0,19.0,33.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.0,1.0,33.0,0.0,0.0,0.0,0.0,0.0,11.96
Tracy Porter,DET,WR,23.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,124.0,13.78,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,124.0,0.0,21.4
Pat Ryan,NYJ,QB,27.0,9.0,0.0,12.0,18.0,146.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,146.0,2.0,18.0,-1.0,0.0,1.0,0.0,0.0,11.74
Pat Beach,BAL,TE,23.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,45.0,11.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,1.0,14.5
Stan Edwards,HOU,RB,22.0,7.0,4.0,0.0,0.0,0.0,0.0,15.0,58.0,9.0,53.0,5.89,0.0,0.0,0.0,0.0,0.0,58.0,0.0,15.0,53.0,0.0,20.1
Scott Fitzkee,SDG,WR,25.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,47.0,15.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,1.0,13.7
Bernard Henry,BAL,WR,22.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,110.0,15.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,18.0
Jim Jensen,GNB,RB,29.0,8.0,0.0,0.0,0.0,0.0,0.0,9.0,28.0,3.0,18.0,6.0,1.0,0.0,0.0,0.0,0.0,28.0,0.0,9.0,18.0,1.0,11.6
Greg Pruitt,RAI,RB,31.0,9.0,0.0,0.0,0.0,0.0,0.0,4.0,22.0,2.0,29.0,14.5,5.0,0.0,0.0,0.0,0.0,22.0,0.0,4.0,29.0,1.0,3.1000000000000014
Willie Scott,KAN,TE,23.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,49.0,6.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1.0,18.9
Perry Tuttle,BUF,WR,23.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,107.0,15.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,17.7
Gary Allen,HOU,RB,22.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,35.0,17.5,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,35.0,1.0,9.7
Ron Egloff,DEN,TE,27.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,96.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,19.6
Vyto Kab,PHI,TE,23.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,35.0,8.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,1.0,13.5
Guido Merkens,NOR,WR,27.0,9.0,1.0,18.0,49.0,186.0,2.0,9.0,30.0,0.0,0.0,0.0,1.0,0.0,186.0,1.0,49.0,30.0,0.0,9.0,0.0,0.0,8.440000000000001
Mike Mosley,BUF,WR,24.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,96.0,10.67,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,12.6
