Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost
Daniel Fells,STL,TE,27.0,16.0,6.0,65.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,391.0,2.0,92.1,0.0,0.0,0.0
Fred Davis,WAS,TE,24.0,16.0,9.0,30.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,316.0,3.0,70.6,0.0,0.0,0.0
Emmanuel Sanders,PIT,WR,23.0,13.0,1.0,50.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,376.0,2.0,75.6,0.0,2.0,1.0
C.J. Spiller,BUF,RB,23.0,14.0,1.0,30.0,24.0,0.0,0.0,0.0,283.0,0.0,74.0,157.0,1.0,68.0,0.0,5.0,3.0
Brian Robiskie,CLE,WR,23.0,14.0,11.0,49.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,310.0,3.0,78.0,0.0,0.0,0.0
Jerome Harrison,2TM,RB,27.0,12.0,2.0,13.0,12.0,0.0,0.0,0.0,330.0,1.0,71.0,85.0,0.0,57.5,0.0,2.0,1.0
DeAngelo Williams,CAR,RB,27.0,6.0,6.0,13.0,11.0,0.0,0.0,0.0,361.0,1.0,87.0,61.0,0.0,57.2,0.0,1.0,1.0
Darrius Heyward-Bey,OAK,WR,23.0,15.0,14.0,65.0,26.0,0.0,0.0,0.0,48.0,0.0,4.0,366.0,1.0,71.39999999999998,0.0,1.0,1.0
Jerome Simpson,CIN,WR,24.0,5.0,3.0,25.0,20.0,0.0,0.0,0.0,2.0,0.0,1.0,277.0,3.0,61.90000000000001,0.0,2.0,2.0
Legedu Naanee,SDG,WR,27.0,10.0,9.0,46.0,23.0,0.0,0.0,0.0,-2.0,0.0,3.0,371.0,1.0,63.89999999999999,0.0,1.0,1.0
Laurent Robinson,STL,WR,25.0,14.0,11.0,75.0,34.0,0.0,0.0,0.0,-14.0,0.0,2.0,344.0,2.0,79.0,0.0,0.0,0.0
Brad Smith,NYJ,WR,27.0,16.0,2.0,7.0,4.0,6.0,1.0,3.0,299.0,1.0,38.0,44.0,0.0,46.54,0.0,1.0,1.0
Vincent Jackson,SDG,WR,27.0,5.0,5.0,24.0,14.0,0.0,0.0,0.0,14.0,0.0,1.0,248.0,3.0,58.2,0.0,0.0,0.0
Isaac Redman,PIT,RB,26.0,16.0,0.0,10.0,9.0,0.0,0.0,0.0,247.0,0.0,52.0,72.0,2.0,52.9,0.0,2.0,0.0
Tony Scheffler,DET,TE,27.0,15.0,4.0,72.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,378.0,1.0,86.8,0.0,1.0,1.0
Mark Clayton,STL,WR,28.0,5.0,5.0,42.0,23.0,0.0,0.0,0.0,6.0,0.0,1.0,306.0,2.0,66.19999999999999,0.0,0.0,0.0
Josh Cribbs,CLE,WR,27.0,15.0,5.0,39.0,23.0,19.0,0.0,3.0,66.0,0.0,20.0,292.0,1.0,63.56,0.0,7.0,1.0
Andre Roberts,ARI,WR,22.0,15.0,2.0,49.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,307.0,2.0,64.7,0.0,2.0,1.0
