Player,Tm,Pos,Age,G,GS,Cmp,Att,Yds,Int,Att.1,Yds.1,Rec,Yds.2,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints
Joe Namath,NYJ,QB,28.0,4.0,3.0,28.0,59.0,537.0,6.0,3.0,-1.0,0.0,0.0,0.0,0.0,0.0,537.0,5.0,59.0,-1.0,0.0,3.0,0.0,0.0,29.380000000000003
Jerry Smith,WAS,TE,28.0,8.0,7.0,0.0,0.0,0.0,0.0,1.0,5.0,16.0,227.0,14.19,1.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,227.0,1.0,43.2
Billy Truax,DAL,TE,28.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,232.0,15.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.0,1.0,44.2
Zeke Bratkowski,GNB,QB,40.0,6.0,1.0,19.0,37.0,298.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,298.0,4.0,37.0,1.0,1.0,1.0,0.0,0.0,26.020000000000003
Don Horn,DEN,QB,26.0,9.0,9.0,89.0,173.0,1056.0,14.0,6.0,15.0,0.0,0.0,0.0,4.0,0.0,1056.0,3.0,173.0,15.0,0.0,6.0,0.0,0.0,19.74
Randy Johnson,NYG,QB,27.0,5.0,1.0,41.0,74.0,477.0,3.0,6.0,29.0,0.0,0.0,0.0,4.0,0.0,477.0,3.0,74.0,29.0,0.0,6.0,0.0,0.0,19.98
Tom Woodeshick,PHI,RB,30.0,11.0,5.0,0.0,0.0,0.0,0.0,66.0,188.0,6.0,36.0,6.0,2.0,0.0,0.0,0.0,0.0,188.0,0.0,66.0,36.0,1.0,30.4
Sonny Davis,PHI,RB,23.0,14.0,6.0,0.0,1.0,0.0,0.0,47.0,163.0,11.0,46.0,4.18,1.0,0.0,0.0,0.0,1.0,163.0,1.0,47.0,46.0,0.0,35.9
Walker Gillette,SDG,WR,24.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,147.0,14.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,2.0,36.7
Rich Kotite,NYG,TE,29.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,146.0,14.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,2.0,36.6
